v,h,lon_min,lon_max,lat_min,lat_max
7,4,-148.9849,-131.997,10,20
7,5,-138.3431,-121.8427,10,20
7,6,-127.7013,-111.6885,10,20
7,7,-117.0596,-101.5342,10,20
7,8,-106.4178,-91.3799,10,20
7,9,-95.776,-81.2257,10,20
7,10,-85.1342,-71.0714,10,20
7,11,-74.4924,-60.9171,10,20
7,12,-63.8507,-50.7629,10,20
7,13,-53.2089,-40.6086,10,20
7,14,-42.5671,-30.4543,10,20
7,15,-31.9253,-20.3001,10,20
7,16,-21.2836,-10.1458,10,20
7,17,-10.6418,0.0089,10,20
7,18,0,10.6506,10,20
7,19,10.1543,21.2924,10,20
7,20,20.3085,31.9342,10,20
7,21,30.4628,42.576,10,20
7,22,40.6171,53.2178,10,20
7,23,50.7713,63.8595,10,20
7,24,60.9256,74.5013,10,20
7,25,71.0799,85.1431,10,20
7,26,81.2341,95.7849,10,20
7,27,91.3884,106.4266,10,20
7,28,101.5427,117.0684,10,20
7,29,111.6969,127.7102,10,20
7,30,121.8512,138.352,10,20
7,31,132.0055,148.9938,10,20
7,32,142.1597,159.6355,10,20
7,33,152.314,170.2773,10,20
7,34,162.4683,180,10,20
7,35,172.6225,180,10,19.1833
8,0,-180,-169.9917,0,10
8,1,-172.6225,-159.9917,0,10
8,2,-162.4683,-149.9917,0,10
8,3,-152.314,-139.9917,0,10
8,4,-142.1597,-129.9917,0,10
8,5,-132.0055,-119.9917,0,10
8,6,-121.8512,-109.9917,0,10
8,7,-111.6969,-99.9917,0,10
8,8,-101.5427,-89.9917,0,10
8,9,-91.3884,-79.9917,0,10
8,10,-81.2341,-69.9917,0,10
8,11,-71.0799,-59.9917,0,10
8,12,-60.9256,-49.9917,0,10
8,13,-50.7713,-39.9917,0,10
8,14,-40.6171,-29.9917,0,10
8,15,-30.4628,-19.9917,0,10
8,16,-20.3085,-9.9917,0,10
8,17,-10.1543,0.0085,0,10
8,18,0,10.1627,0,10
8,19,10,20.317,0,10
8,20,20,30.4713,0,10
8,21,30,40.6255,0,10
8,22,40,50.7798,0,10
8,23,50,60.9341,0,10
8,24,60,71.0883,0,10
8,25,70,81.2426,0,10
8,26,80,91.3969,0,10
8,27,90,101.5511,0,10
8,28,100,111.7054,0,10
8,29,110,121.8597,0,10
8,30,120,132.0139,0,10
8,31,130,142.1682,0,10
8,32,140,152.3225,0,10
8,33,150,162.4767,0,10
8,34,160,172.631,0,10
8,35,170,180,0,10
9,0,-180,-169.9917,-10,0
9,1,-172.6225,-159.9917,-10,0
9,2,-162.4683,-149.9917,-10,0
9,3,-152.314,-139.9917,-10,0
9,4,-142.1597,-129.9917,-10,0
9,5,-132.0055,-119.9917,-10,0
9,6,-121.8512,-109.9917,-10,0
9,7,-111.6969,-99.9917,-10,0
9,8,-101.5427,-89.9917,-10,0
9,9,-91.3884,-79.9917,-10,0
9,10,-81.2341,-69.9917,-10,0
9,11,-71.0799,-59.9917,-10,0
9,12,-60.9256,-49.9917,-10,0
9,13,-50.7713,-39.9917,-10,0
9,14,-40.6171,-29.9917,-10,0
9,15,-30.4628,-19.9917,-10,0
9,16,-20.3085,-9.9917,-10,0
9,17,-10.1543,0.0085,-10,0
9,18,0,10.1627,-10,0
9,19,10,20.317,-10,0
9,20,20,30.4713,-10,0
9,21,30,40.6255,-10,0
9,22,40,50.7798,-10,0
9,23,50,60.9341,-10,0
9,24,60,71.0883,-10,0
9,25,70,81.2426,-10,0
9,26,80,91.3969,-10,0
9,27,90,101.5511,-10,0
9,28,100,111.7054,-10,0
9,29,110,121.8597,-10,0
9,30,120,132.0139,-10,0
9,31,130,142.1682,-10,0
9,32,140,152.3225,-10,0
9,33,150,162.4767,-10,0
9,34,160,172.631,-10,0
9,35,170,180,-10,0
10,0,-180,-172.6141,-19.1917,-10
10,1,-180,-162.4598,-20,-10
10,2,-170.2684,-152.3055,-20,-10
10,3,-159.6267,-142.1513,-20,-10
10,4,-148.9849,-131.997,-20,-10
10,5,-138.3431,-121.8427,-20,-10
10,6,-127.7013,-111.6885,-20,-10
10,7,-117.0596,-101.5342,-20,-10
10,8,-106.4178,-91.3799,-20,-10
10,9,-95.776,-81.2257,-20,-10
10,10,-85.1342,-71.0714,-20,-10
10,11,-74.4924,-60.9171,-20,-10
10,12,-63.8507,-50.7629,-20,-10
10,13,-53.2089,-40.6086,-20,-10
10,14,-42.5671,-30.4543,-20,-10
10,15,-31.9253,-20.3001,-20,-10
10,16,-21.2836,-10.1458,-20,-10
10,17,-10.6418,0.0089,-20,-10
10,18,0,10.6506,-20,-10
10,19,10.1543,21.2924,-20,-10
10,20,20.3085,31.9342,-20,-10
10,21,30.4628,42.576,-20,-10
10,22,40.6171,53.2178,-20,-10
10,23,50.7713,63.8595,-20,-10
10,24,60.9256,74.5013,-20,-10
10,25,71.0799,85.1431,-20,-10
10,26,81.2341,95.7849,-20,-10
10,27,91.3884,106.4266,-20,-10
10,28,101.5427,117.0684,-20,-10
10,29,111.6969,127.7102,-20,-10
10,30,121.8512,138.352,-20,-10
10,31,132.0055,148.9938,-20,-10
10,32,142.1597,159.6355,-20,-10
10,33,152.314,170.2773,-20,-10
10,34,162.4683,180,-20,-10
10,35,172.6225,180,-19.1833,-10
11,0,-999,-999,-99,-99
11,1,-180,-170.2596,-27.2667,-20
11,2,-180,-159.6178,-30,-20
11,3,-173.2051,-148.976,-30,-20
11,4,-161.6581,-138.3342,-30,-20
11,5,-150.1111,-127.6925,-30,-20
11,6,-138.5641,-117.0507,-30,-20
11,7,-127.0171,-106.4089,-30,-20
11,8,-115.4701,-95.7671,-30,-20
11,9,-103.923,-85.1254,-30,-20
11,10,-92.376,-74.4836,-30,-20
11,11,-80.829,-63.8418,-30,-20
11,12,-69.282,-53.2,-30,-20
11,13,-57.735,-42.5582,-30,-20
11,14,-46.188,-31.9165,-30,-20
11,15,-34.641,-21.2747,-30,-20
11,16,-23.094,-10.6329,-30,-20
11,17,-11.547,0.0096,-30,-20
11,18,0,11.5566,-30,-20
11,19,10.6418,23.1036,-30,-20
11,20,21.2836,34.6506,-30,-20
11,21,31.9253,46.1976,-30,-20
11,22,42.5671,57.7446,-30,-20
11,23,53.2089,69.2917,-30,-20
11,24,63.8507,80.8387,-30,-20
11,25,74.4924,92.3857,-30,-20
11,26,85.1342,103.9327,-30,-20
11,27,95.776,115.4797,-30,-20
11,28,106.4178,127.0267,-30,-20
11,29,117.0596,138.5737,-30,-20
11,30,127.7013,150.1207,-30,-20
11,31,138.3431,161.6677,-30,-20
11,32,148.9849,173.2147,-30,-20
11,33,159.6267,180,-30,-20
11,34,170.2684,180,-27.2667,-20
11,35,-999,-999,-99,-99
12,0,-999,-999,-99,-99
12,1,-999,-999,-99,-99
12,2,-180,-173.1955,-33.5583,-30
12,3,-180,-161.6485,-38.95,-30
12,4,-180,-150.1014,-40,-30
12,5,-169.7029,-138.5544,-40,-30
12,6,-156.6489,-127.0074,-40,-30
12,7,-143.5948,-115.4604,-40,-30
12,8,-130.5407,-103.9134,-40,-30
12,9,-117.4867,-92.3664,-40,-30
12,10,-104.4326,-80.8194,-40,-30
12,11,-91.3785,-69.2724,-40,-30
12,12,-78.3244,-57.7254,-40,-30
12,13,-65.2704,-46.1784,-40,-30
12,14,-52.2163,-34.6314,-40,-30
12,15,-39.1622,-23.0844,-40,-30
12,16,-26.1081,-11.5374,-40,-30
12,17,-13.0541,0.0109,-40,-30
12,18,0,13.065,-40,-30
12,19,11.547,26.119,-40,-30
12,20,23.094,39.1731,-40,-30
12,21,34.641,52.2272,-40,-30
12,22,46.188,65.2812,-40,-30
12,23,57.735,78.3353,-40,-30
12,24,69.282,91.3894,-40,-30
12,25,80.829,104.4435,-40,-30
12,26,92.376,117.4975,-40,-30
12,27,103.923,130.5516,-40,-30
12,28,115.4701,143.6057,-40,-30
12,29,127.0171,156.6598,-40,-30
12,30,138.5641,169.7138,-40,-30
12,31,150.1111,180,-40,-30
12,32,161.6581,180,-38.9417,-30
12,33,173.2051,180,-33.5583,-30
12,34,-999,-999,-99,-99
12,35,-999,-999,-99,-99
13,0,-999,-999,-99,-99
13,1,-999,-999,-99,-99
13,2,-999,-999,-99,-99
13,3,-999,-999,-99,-99
13,4,-180,-169.6921,-43.7667,-40
13,5,-180,-156.638,-48.1917,-40
13,6,-180,-143.5839,-50,-40
13,7,-171.1296,-130.5299,-50,-40
13,8,-155.5724,-117.4758,-50,-40
13,9,-140.0151,-104.4217,-50,-40
13,10,-124.4579,-91.3676,-50,-40
13,11,-108.9007,-78.3136,-50,-40
13,12,-93.3434,-65.2595,-50,-40
13,13,-77.7862,-52.2054,-50,-40
13,14,-62.229,-39.1513,-50,-40
13,15,-46.6717,-26.0973,-50,-40
13,16,-31.1145,-13.0432,-50,-40
13,17,-15.5572,0.013,-50,-40
13,18,0,15.5702,-50,-40
13,19,13.0541,31.1274,-50,-40
13,20,26.1081,46.6847,-50,-40
13,21,39.1622,62.2419,-50,-40
13,22,52.2163,77.7992,-50,-40
13,23,65.2704,93.3564,-50,-40
13,24,78.3244,108.9136,-50,-40
13,25,91.3785,124.4709,-50,-40
13,26,104.4326,140.0281,-50,-40
13,27,117.4867,155.5853,-50,-40
13,28,130.5407,171.1426,-50,-40
13,29,143.5948,180,-50,-40
13,30,156.6489,180,-48.1917,-40
13,31,169.7029,180,-43.7583,-40
13,32,-999,-999,-99,-99
13,33,-999,-999,-99,-99
13,34,-999,-999,-99,-99
13,35,-999,-999,-99,-99
14,0,-999,-999,-99,-99
14,1,-999,-999,-99,-99
14,2,-999,-999,-99,-99
14,3,-999,-999,-99,-99
14,4,-999,-999,-99,-99
14,5,-999,-999,-99,-99
14,6,-180,-171.1167,-52.3333,-50
14,7,-180,-155.5594,-56.2583,-50
14,8,-180,-140.0022,-60,-50
14,9,-180,-124.4449,-60,-50
14,10,-160,-108.8877,-60,-50
14,11,-140,-93.3305,-60,-50
14,12,-120,-77.7732,-60,-50
14,13,-100,-62.216,-60,-50
14,14,-80,-46.6588,-60,-50
14,15,-60,-31.1015,-60,-50
14,16,-40,-15.5443,-60,-50
14,17,-20,0.0167,-60,-50
14,18,0,20.0167,-60,-50
14,19,15.5572,40.0167,-60,-50
14,20,31.1145,60.0167,-60,-50
14,21,46.6717,80.0167,-60,-50
14,22,62.229,100.0167,-60,-50
14,23,77.7862,120.0167,-60,-50
14,24,93.3434,140.0167,-60,-50
14,25,108.9007,160.0167,-60,-50
14,26,124.4579,180,-60,-50
14,27,140.0151,180,-60,-50
14,28,155.5724,180,-56.25,-50
14,29,171.1296,180,-52.3333,-50
14,30,-999,-999,-99,-99
14,31,-999,-999,-99,-99
14,32,-999,-999,-99,-99
14,33,-999,-999,-99,-99
14,34,-999,-999,-99,-99
14,35,-999,-999,-99,-99
15,0,-999,-999,-99,-99
15,1,-999,-999,-99,-99
15,2,-999,-999,-99,-99
15,3,-999,-999,-99,-99
15,4,-999,-999,-99,-99
15,5,-999,-999,-99,-99
15,6,-999,-999,-99,-99
15,7,-999,-999,-99,-99
15,8,-999,-999,-99,-99
15,9,-180,-159.9833,-63.6167,-60
15,10,-180,-139.9833,-67.1167,-60
15,11,-180,-119.9833,-70,-60
15,12,-175.4283,-99.9833,-70,-60
15,13,-146.1902,-79.9833,-70,-60
15,14,-116.9522,-59.9833,-70,-60
15,15,-87.7141,-39.9833,-70,-60
15,16,-58.4761,-19.9833,-70,-60
15,17,-29.238,0.0244,-70,-60
15,18,0,29.2624,-70,-60
15,19,20,58.5005,-70,-60
15,20,40,87.7385,-70,-60
15,21,60,116.9765,-70,-60
15,22,80,146.2146,-70,-60
15,23,100,175.4526,-70,-60
15,24,120,180,-70,-60
15,25,140,180,-67.1167,-60
15,26,160,180,-63.6167,-60
15,27,-999,-999,-99,-99
15,28,-999,-999,-99,-99
15,29,-999,-999,-99,-99
15,30,-999,-999,-99,-99
15,31,-999,-999,-99,-99
15,32,-999,-999,-99,-99
15,33,-999,-999,-99,-99
15,34,-999,-999,-99,-99
15,35,-999,-999,-99,-99
16,0,-999,-999,-99,-99
16,1,-999,-999,-99,-99
16,2,-999,-999,-99,-99
16,3,-999,-999,-99,-99
16,4,-999,-999,-99,-99
16,5,-999,-999,-99,-99
16,6,-999,-999,-99,-99
16,7,-999,-999,-99,-99
16,8,-999,-999,-99,-99
16,9,-999,-999,-99,-99
16,10,-999,-999,-99,-99
16,11,-180,-175.4039,-70.5333,-70
16,12,-180,-146.1659,-73.875,-70
16,13,-180,-116.9278,-77.1667,-70
16,14,-180,-87.6898,-80,-70
16,15,-172.7631,-58.4517,-80,-70
16,16,-115.1754,-29.2137,-80,-70
16,17,-57.5877,0.048,-80,-70
16,18,0,57.6357,-80,-70
16,19,29.238,115.2234,-80,-70
16,20,58.4761,172.8111,-80,-70
16,21,87.7141,180,-80,-70
16,22,116.9522,180,-77.1583,-70
16,23,146.1902,180,-73.875,-70
16,24,175.4283,180,-70.5333,-70
16,25,-999,-999,-99,-99
16,26,-999,-999,-99,-99
16,27,-999,-999,-99,-99
16,28,-999,-999,-99,-99
16,29,-999,-999,-99,-99
16,30,-999,-999,-99,-99
16,31,-999,-999,-99,-99
16,32,-999,-999,-99,-99
16,33,-999,-999,-99,-99
16,34,-999,-999,-99,-99
16,35,-999,-999,-99,-99
17,0,-999,-999,-99,-99
17,1,-999,-999,-99,-99
17,2,-999,-999,-99,-99
17,3,-999,-999,-99,-99
17,4,-999,-999,-99,-99
17,5,-999,-999,-99,-99
17,6,-999,-999,-99,-99
17,7,-999,-999,-99,-99
17,8,-999,-999,-99,-99
17,9,-999,-999,-99,-99
17,10,-999,-999,-99,-99
17,11,-999,-999,-99,-99
17,12,-999,-999,-99,-99
17,13,-999,-999,-99,-99
17,14,-180,-172.7151,-80.4083,-80
17,15,-180,-115.1274,-83.625,-80
17,16,-180,-57.5397,-86.8167,-80
17,17,-180,57.2957,-90,-80
17,18,-0.004,180,-90,-80
17,19,57.5877,180,-86.8167,-80
17,20,115.1754,180,-83.625,-80
17,21,172.7631,180,-80.4083,-80
17,22,-999,-999,-99,-99
17,23,-999,-999,-99,-99
17,24,-999,-999,-99,-99
17,25,-999,-999,-99,-99
17,26,-999,-999,-99,-99
17,27,-999,-999,-99,-99
17,28,-999,-999,-99,-99
17,29,-999,-999,-99,-99
17,30,-999,-999,-99,-99
17,31,-999,-999,-99,-99
17,32,-999,-999,-99,-99
17,33,-999,-999,-99,-99
17,34,-999,-999,-99,-99
17,35,-999,-999,-99,-99
